Random State,Balancing Method,PCA Components,Classifier,K (if KNN) / Kernel (if SVM),Accuracy,Errors,Correct Predictions,Training Time (ms),Prediction Time (ms)
1,None,None,KNN,3,0.992,2,248,7.997,22.231
1,None,None,KNN,5,0.996,1,249,2.005,18.009
1,None,None,KNN,7,0.992,2,248,1.034,12.000
1,None,None,KNN,9,0.988,3,247,1.999,11.039
1,None,None,SVM,Linear,1.000,0,250,10.027,2.501
1,None,7,KNN,3,0.992,2,248,0.873,11.975
1,None,7,KNN,5,1.000,0,250,0.999,14.039
1,None,7,KNN,7,1.000,0,250,1.023,11.010
1,None,7,KNN,9,0.996,1,249,1.001,10.504
1,None,7,SVM,Linear,0.996,1,249,2.997,0.998
1,None,8,KNN,3,0.992,2,248,0.997,10.964
1,None,8,KNN,5,1.000,0,250,1.000,11.037
1,None,8,KNN,7,1.000,0,250,1.001,10.997
1,None,8,KNN,9,0.992,2,248,1.000,10.998
1,None,8,SVM,Linear,1.000,0,250,1.998,1.000
1,oversampling,None,KNN,3,0.992,2,248,2.000,20.000
1,oversampling,None,KNN,5,1.000,0,250,0.998,11.998
1,oversampling,None,KNN,7,0.996,1,249,2.002,12.035
1,oversampling,None,KNN,9,0.996,1,249,2.508,12.039
1,oversampling,None,SVM,Linear,1.000,0,250,3.044,0.000
1,oversampling,7,KNN,3,0.992,2,248,0.999,10.001
1,oversampling,7,KNN,5,1.000,0,250,0.999,11.000
1,oversampling,7,KNN,7,0.996,1,249,1.001,11.509
1,oversampling,7,KNN,9,0.992,2,248,1.001,10.998
1,oversampling,7,SVM,Linear,1.000,0,250,2.998,1.002
1,oversampling,8,KNN,3,0.992,2,248,0.998,10.000
1,oversampling,8,KNN,5,1.000,0,250,1.005,11.551
1,oversampling,8,KNN,7,1.000,0,250,1.001,11.034
1,oversampling,8,KNN,9,0.996,1,249,0.998,11.035
1,oversampling,8,SVM,Linear,1.000,0,250,3.027,0.000
1,undersampling,None,KNN,3,0.992,2,248,1.003,11.582
1,undersampling,None,KNN,5,0.996,1,249,1.003,11.036
1,undersampling,None,KNN,7,0.992,2,248,1.000,11.999
1,undersampling,None,KNN,9,0.992,2,248,1.024,11.584
1,undersampling,None,SVM,Linear,0.996,1,249,3.000,0.000
1,undersampling,7,KNN,3,0.992,2,248,1.014,9.986
1,undersampling,7,KNN,5,1.000,0,250,1.001,9.998
1,undersampling,7,KNN,7,0.992,2,248,1.002,9.999
1,undersampling,7,KNN,9,0.996,1,249,0.997,11.004
1,undersampling,7,SVM,Linear,0.996,1,249,2.000,1.039
1,undersampling,8,KNN,3,0.992,2,248,0.997,10.627
1,undersampling,8,KNN,5,0.996,1,249,2.001,10.545
1,undersampling,8,KNN,7,0.996,1,249,1.036,11.013
1,undersampling,8,KNN,9,0.996,1,249,1.002,12.002
1,undersampling,8,SVM,Linear,0.996,1,249,1.998,1.000
2,None,None,KNN,3,0.992,2,248,0.998,10.999
2,None,None,KNN,5,0.996,1,249,2.030,11.009
2,None,None,KNN,7,0.996,1,249,1.002,13.039
2,None,None,KNN,9,0.996,1,249,0.997,12.039
2,None,None,SVM,Linear,0.996,1,249,2.998,0.000
2,None,7,KNN,3,0.984,4,246,1.000,10.998
